,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
429,The Merry Widow,1925,Not Rated,25 Jan 1926,137 min,"Drama, Romance",Erich von Stroheim,"Erich von Stroheim (screen adaptation and scenario), Benjamin Glazer (screen adaptation and scenario), Viktor Léon (adapted from the musical comedy by), Leo Stein (adapted from the musical comedy by), Marian Ainslee (titles)","Mae Murray, John Gilbert, Roy D'Arcy, Josephine Crowell",A prince must woo the now wealthy dancer he once abandoned in order to keep her money in the country in order to keep it from crashing economically.,None,USA,N/A,https://m.media-amazon.com/images/M/MV5BODc0MjYyOWItNmQ0Yy00YjNjLThjYWUtZGUwOTdmNzIzNDBlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}]",N/A,7.3,"2,154",tt0016104,movie,08 Mar 2011,N/A,Metro-Goldwyn-Mayer,N/A,True,
430,The Monster,1925,Passed,16 Mar 1925,86 min,"Comedy, Horror, Mystery, Romance, Sci-Fi",Roland West,"Roland West (stage production), Crane Wilbur (stage play), Willard Mack (scenario), Albert Kenyon (scenario), C. Gardner Sullivan (titles by), Roland West (adapted by)","Lon Chaney, Gertrude Olmstead, Hallam Cooley, Johnny Arthur",A meek clerk who doubles as an amateur detective investigates some very strange goings-on at a remote mental sanitarium.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BZWE4NmM1YTQtYWJmZS00MmQ3LThiMWEtM2E5MmJjYTJlYzk5XkEyXkFqcGdeQXVyNTA2NDc4OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}]",N/A,6.2,933,tt0016123,movie,15 Sep 2016,N/A,Metro-Goldwyn-Mayer,N/A,True,
431,The Mystic,1925,N/A,27 Sep 1925,70 min,Drama,Tod Browning,"Tod Browning (story), Waldemar Young (adaptation)","Aileen Pringle, Conway Tearle, Mitchell Lewis, Robert Ober","An American criminal imports a gang of Hungarian gypsies to gain control over a fortune. The victim, Doris Merrick, is persuaded by fake medium Zara to hand over her jewels to Nash.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BZWFkOGU0ZjMtNTkzNy00OTZiLTg2NTQtN2VhNjAxZDc3NzY1XkEyXkFqcGdeQXVyMjk2NjgyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,108,tt0016142,movie,N/A,N/A,N/A,N/A,True,
432,Orochi,1925,N/A,20 Nov 1925,74 min,"Action, Adventure",Buntarô Futagawa,Rokuhei Susukita,"Tsumasaburô Bandô, Misao Seki, Utako Tamaki, Kensaku Haruji",The story of a decent samurai who is widely considered a scum and a criminal. His bad luck and numerous misunderstandings drag him down the social ladder straight to the gutter.,None,Japan,N/A,https://m.media-amazon.com/images/M/MV5BN2I4ODIyYWItZGI3ZC00N2U2LWI5NDktMzk2ODhhNGIwZTNlXkEyXkFqcGdeQXVyMjQ3MTQ1MTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,338,tt0016185,movie,N/A,N/A,N/A,N/A,True,
433,Parisian Love,1925,PASSED,01 Aug 1925,65 min,"Crime, Drama, Romance",Louis J. Gasnier,"F. Oakley Crawford (story), Lois Hutchinson (adaptation)","Clara Bow, Donald Keith, Lillian Leighton, J. Gordon Russell","Street people Armand and Marie are madly in love, and she persuades Armand and other gang members to rob the home of Pierre Marcel, a wealthy scientist. The police break up the robbery but ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNjEzNjUzNzk0MF5BMl5BanBnXkFtZTgwMTYwODgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,6.2,180,tt0016201,movie,N/A,N/A,N/A,N/A,True,
434,Paths to Paradise,1925,N/A,29 Jun 1925,78 min,"Comedy, Crime, Romance",Clarence G. Badger,"Paul Armstrong (play), Keene Thompson (screen play by)","Betty Compson, Raymond Griffith, Tom Santschi, Bert Woodruff",A con-woman has a nice business going in fleecing gullible tourists who want a genuine 'underworld' experience -- but the tables are turned when one of her victims turns out to be less ...,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BOTc5NGYxNDAtYzk1MC00MGVjLThjZjctOTc3MWMyMjA1MDM5L2ltYWdlXkEyXkFqcGdeQXVyMTE2NzA0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,130,tt0016205,movie,24 Feb 2009,N/A,N/A,N/A,True,
435,Phantom of the Opera,1925,Passed,15 Nov 1925,93 min,Horror,"Rupert Julian, Lon Chaney, Ernst Laemmle, Edward Sedgwick",Gaston Leroux (from the 1910 celebrated novel by),"Lon Chaney, Mary Philbin, Norman Kerry, Arthur Edmund Carewe","A mad, disfigured composer seeks love with a lovely young opera singer.",N/A,USA,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNDk4MDM1NTI5MV5BMl5BanBnXkFtZTgwMDkyMDc2MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",N/A,7.6,"16,975",tt0016220,movie,N/A,"$3,751,476",Hammer Films,N/A,True,
436,The Plastic Age,1925,Not Rated,15 Dec 1925,73 min,"Comedy, Romance, Sport",Wesley Ruggles,"Frederica Sagor Maas (adaptation), Percy Marks (novel), Eve Unsell (adaptation)","Donald Keith, Mary Alden, Henry B. Walthall, Gilbert Roland","Hugh Carver is an athletic star and a freshman at Prescott College. He falls in love with Cynthia Day, a popular girl who loves to go to parties. He finds that it is impossible to please ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNDA1MjE1OTg1NV5BMl5BanBnXkFtZTgwNzQ3NTY2MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}]",N/A,6.0,281,tt0016226,movie,N/A,N/A,B.P. Schulberg Productions,N/A,True,
437,The Pleasure Garden,1925,N/A,N/A,75 min,"Drama, Romance",Alfred Hitchcock,"Oliver Sandys (novel), Eliot Stannard","Virginia Valli, Carmelita Geraghty, Miles Mander, John Stuart",Two couples' romances are fancifully intertwined.,"None, English","UK, Germany",N/A,https://m.media-amazon.com/images/M/MV5BNDM5M2YyNGMtOTM0NS00YzBjLWE1YzQtMWU3ZWUyYWUxZTZhXkEyXkFqcGdeQXVyNjczMzgwMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}]",N/A,5.9,"2,216",tt0016230,movie,N/A,N/A,"Gainsborough Pictures, Münchner Lichtspielkunst AG",N/A,True,
438,Poil de carotte,1925,N/A,26 Feb 1926,108 min,Drama,Julien Duvivier,"Jacques Feyder (adaptation), Jules Renard (novel)","Henry Krauss, Charlotte Barbier-Krauss, André Heuzé, Fabien Haziza","François' mother, Mme Lepic, hates him and she nicknames him ""Poil de Carotte"" (Carrot hair). His father is more interested in politics and hunting that he is in him. In spite of the ...","None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BMjA2Mzg4OTk4Nl5BMl5BanBnXkFtZTcwMjM3MDA4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,196,tt0016232,movie,N/A,N/A,N/A,N/A,True,
439,Prem Sanyas,1925,N/A,11 May 1928,97 min,Drama,"Franz Osten, Himanshu Rai","Edwin Arnold (story), Niranjan Pal","Seeta Devi, Himanshu Rai, Sarada Ukil, Ranibala",This adaptation of Arnold's 1861 Orientalist epic opens with documentary shots of tourists in Bombay watching street performers. Then a white-bearded old man sitting under the bodhi tree ...,N/A,"India, Germany",N/A,https://m.media-amazon.com/images/M/MV5BZTY1ZTUxOGEtMTVkNi00NTJmLWFjMDktZWEzMzBiYmE2NTA0XkEyXkFqcGdeQXVyNTk5NzQ5Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,122,tt0016240,movie,N/A,N/A,N/A,N/A,True,
440,Pretty Ladies,1925,N/A,06 Sep 1925,74 min,"Comedy, Drama",Monta Bell,"Adela Rogers St. Johns (from the story 'Hearts' by), Alice D.G. Miller (scenario and adaptation), Joseph Farnham (titles)","Zasu Pitts, Tom Moore, Ann Pennington, Lilyan Tashman","Maggie, a headlining comedienne with the Follies, takes a fall off the stage into the orchestra pit and lands on the drum of musician Al Cassidy. One thing leads to another, they fall in ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BYjA0YjNmMTItZGU5OS00Yzg0LTkzZTEtY2Q4NjkyOGNjMGQzXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}]",N/A,3.8,132,tt0016241,movie,N/A,N/A,N/A,N/A,True,
441,The Rag Man,1925,Passed,16 Feb 1925,68 min,"Drama, Comedy",Edward F. Cline,"Willard Mack (story), Robert E. Hopkins (titles)","Jackie Coogan, Lydia Yeamans Titus, Ethel Wales, Robert Edeson","Tim Kelly is an orphan who runs away after his orphanage burns down. Presumed to be killed in the fire, he is able to roam the streets of New York freely. He meets Max Ginsberg, an old ...","English, Yiddish",USA,N/A,https://m.media-amazon.com/images/M/MV5BZThhMWZiZDYtYzFmOS00ODQ0LWJlYzgtZjY4NjhjYTE1NDIyXkEyXkFqcGdeQXVyMjQ3MTQ1MTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,320,tt0016258,movie,N/A,N/A,Metro-Goldwyn,N/A,True,
442,The Red Kimona,1925,Unrated,16 Nov 1925,77 min,"Biography, Drama, Romance","Walter Lang, Dorothy Davenport","Adela Rogers St. Johns (by), Dorothy Arzner (adaptation), Malcolm Stuart Boylan (titles)","Priscilla Bonner, Nellie Bly Baker, Carl Miller, Mary Carr","A small town girl finds escape from her cruel home life in the arms of a handsome stranger. Soon she finds herself working as a prostitute in New Orleans, desperately clinging to the belief that he really loves her.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BODkxN2FhYTItNGM4ZS00YzY5LTljYjgtZjZiYTIwODkyMDAwL2ltYWdlXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,312,tt0016276,movie,22 Apr 2008,N/A,Vital Exchanges,N/A,True,
443,Riders of the Purple Sage,1925,Passed,15 Mar 1925,56 min,"Action, Drama, Western",Lynn Reynolds,"Zane Grey (novel), Edfrid A. Bingham (scenario)","Tom Mix, Mabel Ballin, Beatrice Burnham, Marian Nixon",A Texas Ranger searches for his kidnapped sister.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZTkyZGE2MDQtYWYyZS00N2ZjLWE1ZGMtNzQ5YThlNTVmNGVlXkEyXkFqcGdeQXVyMjk0NTgxNzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,6.4,168,tt0016288,movie,N/A,N/A,N/A,N/A,True,
444,The Road to Yesterday,1925,N/A,15 Nov 1925,107 min,"Drama, Fantasy, Romance",Cecil B. DeMille,"Beulah Marie Dix (story), Howard Hawks (titles), Jeanie Macpherson (adaptation), Evelyn Greenleaf Sutherland (play)","Joseph Schildkraut, Jetta Goudal, William Boyd, Vera Reynolds",A married couple discover their strained relationship is the result of unhappiness in their past lives.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjY3ZjExMTQtMWNlYy00MzM5LWJmYjAtMzBlMGQyNmM2NGE3XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,130,tt0016294,movie,04 Apr 2017,N/A,N/A,N/A,True,
445,Sally of the Sawdust,1925,Not Rated,02 Aug 1925,104 min,Comedy,D.W. Griffith,"Dorothy Donnelly (play), Forrest Halsey","Carol Dempster, W.C. Fields, Alfred Lunt, Erville Alderson","Judge Foster throws his daughter out because she married a circus man. She leaves her baby girl with Prof. McGargle before she dies. Years later Sally is a dancer with whom Peyton, a son of...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMGM0ZTQ2ZGUtNzJiMy00N2Q3LWE5MmItZmM1NmJjMzczNGM2XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}]",N/A,6.7,488,tt0016308,movie,16 Feb 1999,"$304,081",Paramount Pictures,N/A,True,
446,"Sally, Irene and Mary",1925,N/A,27 Dec 1925,58 min,"Comedy, Drama",Edmund Goulding,"Eddie Dowling (play), Edmund Goulding, Cyrus Wood (play)","Constance Bennett, Joan Crawford, Sally O'Neil, William Haines","The three are showgirls, each with a different approach to life and love. Sally wants wealth and gets it finally in Marcus. Mary plots and schemes but winds up with salt-of-the-earth Jimmy....","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BYzhkMjYyNzktZDkyMi00MzZlLWIyYTQtYzQyYTAwMmViNzgyXkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]",N/A,3.9,138,tt0016309,movie,N/A,N/A,N/A,N/A,True,
447,The Salvation Hunters,1925,N/A,15 Feb 1925,70 min,Drama,Josef von Sternberg,Josef von Sternberg,"George K. Arthur, Georgia Hale, Bruce Guerin, Otto Matieson","A cowardly young man, a bitter young woman and a helpless child live on the docks, spend their days full of ennui watching a dredge dig the same hole day in and day out, chased around by ...",None,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDk2MTE2OGYtMTYzNC00NTNhLTlmMWItNTY4Y2QxYzRmOGNhXkEyXkFqcGdeQXVyNDU3OTU1MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,334,tt0016310,movie,N/A,N/A,N/A,N/A,True,
448,Seven Chances,1925,Passed,15 Mar 1925,56 min,"Comedy, Romance",Buster Keaton,"Roi Cooper Megrue (adapted from David Belasco's famous comedy by), Clyde Bruckman (screen version by), Jean C. Havez (screen version by), Joseph A. Mitchell (screen version by)","Buster Keaton, T. Roy Barnes, Snitz Edwards, Ruth Dwyer",A man learns he will inherit a fortune if he marries by 7 p.m. that same day.,"None, English",USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjQ3MjM4NTItMTQ0Mi00OWFiLTk3NDMtYTM2MzBlNDdjOWYxXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.9,"9,477",tt0016332,movie,N/A,"$210,748",Buster Keaton Productions Inc. [us],N/A,True,
449,She,1925,N/A,21 Jun 1925,98 min,"Adventure, Fantasy, Sci-Fi","Leander De Cordova, G.B. Samuelson","H. Rider Haggard (novel), H. Rider Haggard (titles)","Betty Blythe, Carlyle Blackwell, Mary Odette, Tom Reynolds","In Africa an explorer is the reincarnated lover of the 2,000-year-old White Queen.","None, English","UK, Germany",N/A,https://m.media-amazon.com/images/M/MV5BMjMyNDY4NzQ1MF5BMl5BanBnXkFtZTgwMDIxMTYxMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.1,118,tt0016338,movie,26 Feb 2015,N/A,N/A,N/A,True,
450,Soul-Fire,1925,N/A,31 May 1925,88 min,Drama,John S. Robertson,"Martin Brown (play), Josephine Lovett, Agnes Smith (titles)","Richard Barthelmess, Bessie Love, Percy Ames, Charles Esdale",Eric Fane is a composer unwilling to compromise his dream for a steady job back home in the United States.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BYWU2NzM4NjctNjc2NS00YTI5LWJmMTMtMjk2Y2EyZTcyMGNhXkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,116,tt0016377,movie,N/A,N/A,N/A,N/A,True,
451,The City Without Jews,1924,N/A,05 May 1924,80 min,Drama,H.K. Breslauer,"Hugo Bettauer (novel), Ida Jenbach, H.K. Breslauer","Eugen Neufeld, Hans Moser, Anny Miletty, Johannes Riemann",Jews are expelled from the city of Utopia.,None,Austria,N/A,https://m.media-amazon.com/images/M/MV5BNWIwYmI2YzYtYzJjMi00MTViLWIyM2ItZDA1Nzc4M2QzY2RkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTM2NTg3Nzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,258,tt0016392,movie,N/A,N/A,N/A,N/A,True,
452,Stage Struck,1925,N/A,16 Nov 1925,70 min,Comedy,Allan Dwan,"Frank R. Adams (story), Forrest Halsey (screenplay), Sylvia LaVarre (adaptation)","Gloria Swanson, Lawrence Gray, Gertrude Astor, Oliver Sandys","A young woman dreams of becoming a great actress. When her boyfriend starts to flirt with an actual actress, she becomes jealous and decides to fight with her rival.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BOGQwN2FlYWItY2VmYy00NzhjLTlmMzgtNDQyOTgzNjViNTI3XkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,847,tt0016394,movie,N/A,"$241,507",Famous Players-Lasky Corporation,N/A,True,
453,Stella Dallas,1925,Passed,16 Nov 1925,110 min,Drama,Henry King,"Frances Marion (adaptation), Olive Higgins Prouty (novel)","Ronald Colman, Belle Bennett, Alice Joyce, Jean Hersholt","Stella, a small town girl, marries socialite Stephen Dallas, a man with whom she has nothing in common. The whole thing is a failure; after the birth of their daughter, Laurel, the Dallases...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BZGE1Y2MwYWQtYjZiOS00YjVjLTk2OTYtYjg5Mjc4MDcyNGVkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",N/A,7.1,287,tt0016395,movie,N/A,N/A,N/A,N/A,True,
454,Tumbleweeds,1925,Approved,27 Dec 1925,78 min,Western,"King Baggot, William S. Hart","Hal G. Evarts (story), C. Gardner Sullivan (adaptation)","William S. Hart, Barbara Bedford, Lucien Littlefield, J. Gordon Russell",The government will grant a fringe of terrain for the settlers who want to live and work there. The starting sign will be a gunshot which will iniciate the run for the best fields and ...,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTA3OTEyNjExMjJeQTJeQWpwZ15BbWU4MDEyOTA4MDIx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.5,550,tt0016461,movie,N/A,N/A,William S. Hart Productions,N/A,True,
455,The Unholy Three,1925,Passed,16 Aug 1925,86 min,"Crime, Drama, Romance",Tod Browning,"Clarence Aaron 'Tod' Robbins (story), Waldemar Young (scenario)","Lon Chaney, Mae Busch, Matt Moore, Victor McLaglen","A sideshow ventriloquist, midget, and strongman form a conspiracy known as ""The Unholy Three"" and commit a series of robberies.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjA4NTQwMDg4MV5BMl5BanBnXkFtZTgwODAyMDU4MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",N/A,7.2,"1,705",tt0016473,movie,13 Jan 2021,N/A,Metro Goldwyn Mayer,N/A,True,
456,The Vanishing American,1925,N/A,15 Feb 1926,110 min,Western,George B. Seitz,"Ethel Doherty, Zane Grey (novel), Lucien Hubbard (adaptation)","Richard Dix, Lois Wilson, Noah Beery, Malcolm McGregor","History, as portrayed in this film, has been a succession of conquests of stronger races over weaker ones. As played out on the stage of Monument Valley, long ago, tribes of Indians ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjVjMWJjYWEtNmUwMy00NmNjLWIwNTMtYjA1ZjMxYjExYTk2L2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}]",N/A,6.8,294,tt0016480,movie,21 Nov 2006,"$286,809",Famous Players-Lasky Corporation,N/A,True,
457,Variety,1925,Passed,31 Jan 1926,72 min,"Crime, Drama, Romance",Ewald André Dupont,"Felix Hollaender (novel), Ewald André Dupont (scenario)","Emil Jannings, Maly Delschaft, Lya De Putti, Warwick Ward","Prologue: The murderer ""Boss"" Huller - after having spent ten years in prison - breaks his silence to tell the warden his story. ""Boss"", a former trapeze artist, and his wife own a cheap ...","None, German",Germany,1 win.,https://m.media-amazon.com/images/M/MV5BMTQ3ODk1OTA1NF5BMl5BanBnXkFtZTgwNzY4MjQ1MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.4,"1,062",tt0016481,movie,N/A,"$709,613",N/A,N/A,True,
458,Mother,1925,Not Rated,24 Jan 1925,114 min,"Drama, Mystery, Romance",Jacques Feyder,"Jacques Feyder (scenario), Françoise Rosay","Jean Forest, Victor Vina, Pierrette Houyez, Jeanne Marie-Laurent","A man whose wife has died remarries, and his new wife has a daughter of her own from a previous marriage. The man's young son, however, who loved his mother deeply and misses her terribly, ...","None, French","Switzerland, France",N/A,https://m.media-amazon.com/images/M/MV5BZTM1N2Y4ZWMtOGVmZS00NmU5LTgzOWEtODViMjVmZmMyOWE3XkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",N/A,7.7,703,tt0016491,movie,20 Jan 2017,N/A,N/A,N/A,True,
459,The Imaginary Voyage,1926,N/A,30 Apr 1926,80 min,"Comedy, Drama, Fantasy",René Clair,René Clair,"Dolly Davis, Jean Börlin, Albert Préjean, Jim Gérald","In a daydream, a shy bank clerk is led by a fairy into a subterranean world where people transform into animals and waxworks come to life. Lucie, his office crush, follows him but a bad fairy is intent on keeping them apart.","None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BYWQyYjRkMDItMjg1ZC00ZmUzLThmMDItODg5N2I4NDBhZTY2XkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,160,tt0016493,movie,N/A,N/A,N/A,N/A,True,
